인빈,149,48
철영,155,95
우승,153,94
빈성,179,94
민수,181,97
민용,167,43
철용,141,88
용학,161,51
기재,179,40
준규,166,87
현철,166,56
주현,151,97
학주,146,83
승우,166,80
서준,172,46
준우,193,89
유정,163,95
빈민,176,58
인용,170,50
재민,146,55
인민,144,44
기학,184,64
기주,184,96
정주,152,46
수준,193,87
인현,152,92
재인,167,66
유철,170,40
기인,172,57
학영,157,99
우용,165,92
성수,162,90
수철,158,77
정준,150,90
인준,166,88
재우,158,81
기빈,178,95
주서,192,84
재준,168,73
용규,155,51
철서,183,68
수승,191,89
우재,190,71
용학,166,74
정재,180,56
빈민,189,77
정학,175,76
주우,181,67
빈재,176,95
철학,174,70
현현,179,88
용현,179,64
학준,192,78
규정,193,88
유승,147,95
빈재,184,64
정용,159,51
현승,146,65
빈준,192,65
주서,147,76
민유,173,93
준규,196,42
승인,155,60
재규,154,94
빈승,193,60
수준,178,41
재학,194,69
용현,150,49
민영,153,51
철서,148,81
재규,176,61
기민,183,80
철철,168,61
재영,168,65
유수,145,60
용인,173,65
영서,166,66
유빈,179,83
영정,181,62
인학,199,84
서준,165,71
주빈,196,81
수서,155,75
수유,147,97
수철,193,91
인용,170,52
인수,175,71
영영,189,46
규철,149,78
용서,159,56
규철,180,59
승서,191,66
현재,195,59
규정,189,87
현준,174,75
준서,196,68
민성,179,86
기수,158,72
용규,167,54
준철,158,68
수현,166,62
우재,190,50
재학,154,67
승용,148,87
수용,196,71
재주,171,85
성수,179,50
성성,148,47
인학,140,94
서준,150,89
규성,144,61
규수,145,89
기정,171,74
학주,145,56
주기,150,42
준빈,177,73
정철,167,73
민주,181,59
정용,161,45
주영,144,57
인재,187,91
우승,148,96
주우,167,89
성현,199,56
현학,167,46
서승,161,91
우승,194,95
규성,192,68
서승,197,69
주철,161,81
학유,180,84
학우,182,41
재유,198,59
수빈,144,89
정주,161,54
기우,167,87
빈재,163,44
영영,195,96
서민,181,70
기철,147,83
용수,179,60
유학,173,46
우승,174,88
재유,191,44
수정,184,54
수영,190,98
수영,149,89
용성,160,87
재재,185,91
주재,149,60
수현,169,59
서용,153,85
주준,185,93
기성,157,87
